City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Saint-Leu,RE,-21.15,55.2833,79.63,80,90,2.84,light rain
311,Cidreira,BR,-30.1811,-50.2056,69.37,95,92,3.36,overcast clouds
312,Huancavelica,PE,-12.7667,-74.9833,35.51,95,100,3.67,overcast clouds
313,Karratha,AU,-20.7377,116.8463,100.0,19,0,20.89,clear sky
314,Husavik,IS,66.0449,-17.3389,24.21,87,100,9.95,overcast clouds
315,Am Timan,TD,11.0297,20.2827,69.58,20,71,5.08,broken clouds
316,Shingu,JP,33.7333,135.9833,55.6,45,0,4.52,clear sky
317,Acheng,CN,45.5454,126.977,34.38,86,77,14.65,broken clouds
318,Umm Kaddadah,SD,13.6017,26.6876,70.81,20,9,16.93,clear sky
319,Hagere Selam,ET,6.4833,38.5167,46.44,86,12,3.0,few clouds
320,Dingle,PH,10.9995,122.6711,84.96,75,95,10.54,overcast clouds
321,Tucurui,BR,-3.7661,-49.6725,74.41,94,99,2.84,overcast clouds
322,Charcas,MX,23.1333,-101.1167,59.9,65,96,3.11,overcast clouds
323,Nantucket,US,41.2835,-70.0995,33.91,51,1,10.36,clear sky
324,Barra Patuca,HN,15.8,-84.2833,75.43,80,85,7.54,overcast clouds
325,Puerto Leguizamo,CO,-0.1934,-74.7819,76.14,79,99,2.57,overcast clouds
326,Piracanjuba,BR,-17.3028,-49.0167,68.81,91,29,5.41,scattered clouds
327,Vestmannaeyjar,IS,63.4427,-20.2734,37.65,76,100,8.81,overcast clouds
328,Barrosas,PT,41.3553,-8.2994,35.85,89,8,0.38,clear sky
329,Aitape,PG,-3.1374,142.3475,87.57,62,76,5.5,broken clouds
330,Saint Anthony,US,45.0205,-93.218,36.55,68,1,9.22,clear sky
331,Salinopolis,BR,-0.6136,-47.3561,79.52,81,25,8.75,scattered clouds
332,Aswan,EG,24.0934,32.907,68.11,30,2,8.41,clear sky
333,Nieuw Amsterdam,SR,5.8833,-55.0833,75.36,92,66,7.76,broken clouds
334,Nhulunbuy,AU,-12.2333,136.7667,95.61,34,33,11.5,scattered clouds
335,Vostok,RU,46.4856,135.8833,27.09,73,12,3.04,few clouds
336,Illescas,ES,40.1221,-3.847,38.59,70,6,11.77,clear sky
337,Eenhana,NA,-17.4667,16.3333,71.49,53,82,5.12,broken clouds
338,Almaznyy,RU,48.0448,40.045,39.34,96,100,8.37,overcast clouds
339,Dhidhdhoo,MV,6.8833,73.1,80.55,77,100,8.3,overcast clouds
340,Bazarnyy Karabulak,RU,52.2683,46.4144,32.83,98,100,12.86,overcast clouds
341,Norman Wells,CA,65.282,-126.8329,-23.64,100,69,4.21,broken clouds
342,Managua,NI,12.1328,-86.2504,76.66,79,80,9.57,broken clouds
343,Garden City,US,42.3256,-83.331,34.05,90,90,3.44,snow
344,Caravelas,BR,-17.7125,-39.2481,71.42,94,100,7.02,light rain
345,Pundaguitan,PH,6.3711,126.1689,81.91,80,67,11.27,broken clouds
